bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,"Juliusza Lea 90a, Kraków",50.0717746,19.9085734,4,stop_195_8429,,Biprostal,50.07309,19.915045,484,,
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,"Juliusza Lea 90a, Kraków",50.0717746,19.9085734,5,stop_319_104929,,Głowackiego,50.075882,19.905845,496,,
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,"Dominikańska 3, Kraków",50.0589948,19.9394673,1,stop_325_136019,821-01,Plac Wszystkich Świętych,50.05912,19.93824,89,,
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,"Dominikańska 3, Kraków",50.0589948,19.9394673,2,stop_1102_347029,817-02,św. Gertrudy,50.058486,19.940838,113,,
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,"Dominikańska 3, Kraków",50.0589948,19.9394673,3,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,116,,
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,"Dominikańska 3, Kraków",50.0589948,19.9394673,4,stop_325_136029,821-02,Plac Wszystkich Świętych,50.059113,19.937497,141,,
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,"Dominikańska 3, Kraków",50.0589948,19.9394673,5,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,172,,
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,"Mały Rynek 4, Kraków",50.0611629,19.94061,1,stop_222_35719,806-01,Poczta Główna,50.059797,19.942404,199,,
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,"Mały Rynek 4, Kraków",50.0611629,19.94061,2,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,220,,
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,"Mały Rynek 4, Kraków",50.0611629,19.94061,3,stop_222_35729,806-02,Poczta Główna,50.059205,19.942571,259,,
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,"Mały Rynek 4, Kraków",50.0611629,19.94061,4,stop_325_136019,821-01,Plac Wszystkich Świętych,50.05912,19.93824,283,,
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,"Mały Rynek 4, Kraków",50.0611629,19.94061,5,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,283,,
ChIJH1D9EAhbFkcRQOLQmfnuqiU,Aleksander's Chocolate. Bar,"Karmelicka 56, Kraków",50.0677669,19.927727,1,stop_4_9,,Stefana Batorego,50.067023,19.928837,115,,
ChIJH1D9EAhbFkcRQOLQmfnuqiU,Aleksander's Chocolate. Bar,"Karmelicka 56, Kraków",50.0677669,19.927727,2,stop_193_7919,,Plac Inwalidów,50.068728,19.926981,119,,
ChIJH1D9EAhbFkcRQOLQmfnuqiU,Aleksander's Chocolate. Bar,"Karmelicka 56, Kraków",50.0677669,19.927727,3,stop_4_8,,Stefana Batorego,50.066586,19.929432,179,,
ChIJH1D9EAhbFkcRQOLQmfnuqiU,Aleksander's Chocolate. Bar,"Karmelicka 56, Kraków",50.0677669,19.927727,4,stop_193_7929,,Plac Inwalidów,50.069585,19.925897,241,,
ChIJH1D9EAhbFkcRQOLQmfnuqiU,Aleksander's Chocolate. Bar,"Karmelicka 56, Kraków",50.0677669,19.927727,5,stop_191_7739,,Teatr Bagatela,50.063755,19.932586,565,,
ChIJhwEsTL1bFkcRD8rzpDONyRw,Alkoparty.pl - Hurtownia Alkoholu,"Samuela Bogumiła Lindego 1/1, Kraków",50.0784371,19.8773437,1,stop_212_13519,,Bronowice Małe,50.08179,19.88192,496,,
ChIJhwEsTL1bFkcRD8rzpDONyRw,Alkoparty.pl - Hurtownia Alkoholu,"Samuela Bogumiła Lindego 1/1, Kraków",50.0784371,19.8773437,2,stop_1058_345929,,Bronowice SKA,50.081524,19.888593,873,,
ChIJhwEsTL1bFkcRD8rzpDONyRw,Alkoparty.pl - Hurtownia Alkoholu,"Samuela Bogumiła Lindego 1/1, Kraków",50.0784371,19.8773437,3,stop_1058_345919,,Bronowice SKA,50.081331,19.889698,938,,
ChIJhwEsTL1bFkcRD8rzpDONyRw,Alkoparty.pl - Hurtownia Alkoholu,"Samuela Bogumiła Lindego 1/1, Kraków",50.0784371,19.8773437,4,stop_210_13329,,Wesele,50.079235,19.896704,1384,,
ChIJhwEsTL1bFkcRD8rzpDONyRw,Alkoparty.pl - Hurtownia Alkoholu,"Samuela Bogumiła Lindego 1/1, Kraków",50.0784371,19.8773437,5,stop_210_13319,,Wesele,50.078856,19.897857,1465,,
ChIJOWlvPbZdFkcR_AExd2bZ4eQ,Alpen Grill,"Zachodnia 1a, Kraków",50.0239077,19.9102416,1,stop_289_58929,706-02,Ruczaj,50.02729,19.906125,477,,
ChIJOWlvPbZdFkcR_AExd2bZ4eQ,Alpen Grill,"Zachodnia 1a, Kraków",50.0239077,19.9102416,2,stop_289_58919,706-01,Ruczaj,50.026932,19.905181,494,,
ChIJOWlvPbZdFkcR_AExd2bZ4eQ,Alpen Grill,"Zachodnia 1a, Kraków",50.0239077,19.9102416,3,stop_346_269029,291-02,Kampus UJ,50.024685,19.901995,595,,
ChIJOWlvPbZdFkcR_AExd2bZ4eQ,Alpen Grill,"Zachodnia 1a, Kraków",50.0239077,19.9102416,4,stop_346_269019,291-01,Kampus UJ,50.024044,19.901485,626,,
ChIJOWlvPbZdFkcR_AExd2bZ4eQ,Alpen Grill,"Zachodnia 1a, Kraków",50.0239077,19.9102416,5,stop_345_268819,527-01,Norymberska,50.029809,19.912225,671,,
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,"Stolarska 8/10, Kraków",50.0600054,19.9391523,1,stop_325_136019,821-01,Plac Wszystkich Świętych,50.05912,19.93824,118,,
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,"Stolarska 8/10, Kraków",50.0600054,19.9391523,2,stop_325_136029,821-02,Plac Wszystkich Świętych,50.059113,19.937497,154,,
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,"Stolarska 8/10, Kraków",50.0600054,19.9391523,3,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,202,,
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,"Stolarska 8/10, Kraków",50.0600054,19.9391523,4,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,204,,
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,"Stolarska 8/10, Kraków",50.0600054,19.9391523,5,stop_1102_347029,817-02,św. Gertrudy,50.058486,19.940838,207,,
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,"Powiśle 7, Kraków",50.05570519999999,19.931159,1,stop_216_31919,823-01,Jubilat,50.055498,19.928109,219,,
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,"Powiśle 7, Kraków",50.05570519999999,19.931159,2,stop_216_31929,823-02,Jubilat,50.054999,19.927052,304,,
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,"Powiśle 7, Kraków",50.05570519999999,19.931159,3,stop_219_32229,822-02,Filharmonia,50.058666,19.933001,355,,
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,"Powiśle 7, Kraków",50.05570519999999,19.931159,4,stop_219_32239,822-03,Filharmonia,50.05917,19.9331,409,,
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,"Powiśle 7, Kraków",50.05570519999999,19.931159,5,stop_219_32219,822-01,Filharmonia,50.05903,19.93387,417,,
ChIJC9-qc25bFkcRuvGBYjGhAms,Anna KOROLKO,"Tadeusza Kościuszki 19, Kraków",50.0543574,19.9247099,1,stop_216_31929,823-02,Jubilat,50.054999,19.927052,182,,
ChIJC9-qc25bFkcRuvGBYjGhAms,Anna KOROLKO,"Tadeusza Kościuszki 19, Kraków",50.0543574,19.9247099,2,stop_214_31319,300-01,Komorowskiego,50.053451,19.921873,226,,
ChIJC9-qc25bFkcRuvGBYjGhAms,Anna KOROLKO,"Tadeusza Kościuszki 19, Kraków",50.0543574,19.9247099,3,stop_214_31329,300-02,Komorowskiego,50.053384,19.921893,228,,
ChIJC9-qc25bFkcRuvGBYjGhAms,Anna KOROLKO,"Tadeusza Kościuszki 19, Kraków",50.0543574,19.9247099,4,stop_216_31919,823-01,Jubilat,50.055498,19.928109,274,,
ChIJC9-qc25bFkcRuvGBYjGhAms,Anna KOROLKO,"Tadeusza Kościuszki 19, Kraków",50.0543574,19.9247099,5,stop_213_31139,301-03,Salwator,50.05263,19.917407,556,,
ChIJIUyfSQ5bFkcRai-EfFLv7eg,"Antycafe - Bar, Pub & Multitap Kraków","Sławkowska 12, Kraków",50.06387350000001,19.9375776,1,stop_568_303229,833-02,Stary Kleparz,50.066234,19.938562,272,,
ChIJIUyfSQ5bFkcRai-EfFLv7eg,"Antycafe - Bar, Pub & Multitap Kraków","Sławkowska 12, Kraków",50.06387350000001,19.9375776,2,stop_191_7729,,Teatr Bagatela,50.063806,19.933366,301,,
ChIJIUyfSQ5bFkcRai-EfFLv7eg,"Antycafe - Bar, Pub & Multitap Kraków","Sławkowska 12, Kraków",50.06387350000001,19.9375776,3,stop_568_303219,833-01,Stary Kleparz,50.066314,19.939721,312,,
ChIJIUyfSQ5bFkcRai-EfFLv7eg,"Antycafe - Bar, Pub & Multitap Kraków","Sławkowska 12, Kraków",50.06387350000001,19.9375776,4,stop_568_303239,833-03,Stary Kleparz,50.06666,19.93895,325,,
