place_id,name,lat,lon,vicinity
ChIJCx51JRBbFkcRadeKBmPVXUk,Restauracja Vesuvio Restauracja Kuchnia Włoska Pizza,50.06446529999999,19.9409554,"Floriańska 38, Kraków"
ChIJP4rrAxJbFkcRWI8pGQCKeHU,Budda cocktail bar,50.0610996,19.9384991,"Rynek Główny 6, Kraków"
ChIJf3sn3RFbFkcRLxY4jMmd3UA,Baza Pub,50.0627355,19.9398177,"Floriańska 15, Kraków"
ChIJF3jqK2tbFkcRtcoOZW_IO_A,Old Town Restaurant and Wine Bar,50.0601897,19.93634630000001,"Bracka 6, Kraków"
ChIJdyvSjP9bFkcRVNG4xTYS7ck,Targowa2,50.0458223,19.953629,"Targowa 2, Kraków"
ChIJeQPGiGBbFkcRnPYtfP7dAsE,Vietnam,50.0449455,19.9485129,"Kazimierza Brodzińskiego 2, Kraków"
ChIJ79w2rnRbFkcR-lrrlKGhHa0,BISTRO RAJSKI OGRÓD,50.0647499,19.9302959,"Rajska 8, Kraków"
ChIJv6Zwm3JbFkcRReBaeUGizTE,Groble Skybar lounge,50.05522250000001,19.9328038,"plac Na Groblach 22, Kraków"
ChIJJxefxRJbFkcRnVT5R70sv54,La Campana,50.0570175,19.93728309999999,"Kanonicza 7, Kraków"
ChIJjwarlZdbFkcRhEfiP5kN8Fo,Piano Bar,50.059816,19.939096,"Stolarska 10, Kraków"
ChIJb7MQjW9bFkcRJwL6Z5XtRGc,Park Inn by Radisson Krakow,50.047459,19.9297859,"Monte Cassino 2, Kraków"
ChIJX97YhlRbFkcRUefFiQ5Brro,Bottega Deli & Cafe,50.05353769999999,19.921705,"Tadeusza Kościuszki 39, Kraków"
ChIJ9VwwOkRDFkcRsx--ZmvxMSo,Drink Bar UFO,50.0134835,19.9725614,Kraków
ChIJ7ZKu2ERDFkcRJfJCsiROHIk,COBRA,50.016781,19.9733777,"Białoruska 8B, Kraków"
ChIJU0AoYyhbFkcRNs08axsXIGo,Świat Kraftu Beer & Burger,50.0733555,19.9809465,"Janusza Meissnera 19, Kraków"
ChIJxctwh89bFkcRFPmDrqKXlvY,The Secret – Bar & Gentlemen's Strip Club in Krakow,50.06322900000001,19.9398759,"Floriańska 18, Kraków"
